test_ayi,feature,importance,stdev,n,p95_low,p95_high
2026-01,noter_devir_otomobil_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-01,eurtry_ortalama_lag1,0.0,0.0,10.0,0.0,0.0
2026-01,tufe_aylik_degisim_lag1,0.0,0.0,10.0,0.0,0.0
2026-01,tasit_kredisi_faiz_lag1,0.0,0.0,10.0,0.0,0.0
2026-01,indicata_ilan_yayinlanan_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-01,indicata_satisa_donen_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-01,indicata_satis_ilan_orani_pct_lag1,0.0,0.0,10.0,0.0,0.0
2026-01,indicata_perakende_fiyat_aylik_pct_lag1,0.0,0.0,10.0,0.0,0.0
2026-01,arabam_ortalama_ilan_fiyati_tl_lag1,0.0,0.0,10.0,0.0,0.0
2026-01,betam_ortalama_ilan_fiyati_tl_lag1,0.0,0.0,10.0,0.0,0.0
2026-01,betam_dom_gun_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,noter_devir_otomobil_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,eurtry_ortalama_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,tufe_aylik_degisim_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,tasit_kredisi_faiz_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,indicata_ilan_yayinlanan_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,indicata_satisa_donen_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,indicata_satis_ilan_orani_pct_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,indicata_perakende_fiyat_aylik_pct_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,arabam_ortalama_ilan_fiyati_tl_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,betam_ortalama_ilan_fiyati_tl_lag1,0.0,0.0,10.0,0.0,0.0
2026-02,betam_dom_gun_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,noter_devir_otomobil_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,eurtry_ortalama_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,tufe_aylik_degisim_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,tasit_kredisi_faiz_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,indicata_ilan_yayinlanan_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,indicata_satisa_donen_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,indicata_satis_ilan_orani_pct_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,indicata_perakende_fiyat_aylik_pct_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,arabam_ortalama_ilan_fiyati_tl_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,betam_ortalama_ilan_fiyati_tl_lag1,0.0,0.0,10.0,0.0,0.0
2026-03,betam_dom_gun_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,noter_devir_otomobil_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,eurtry_ortalama_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,tufe_aylik_degisim_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,tasit_kredisi_faiz_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,indicata_ilan_yayinlanan_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,indicata_satisa_donen_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,indicata_satis_ilan_orani_pct_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,indicata_perakende_fiyat_aylik_pct_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,arabam_ortalama_ilan_fiyati_tl_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,betam_ortalama_ilan_fiyati_tl_lag1,0.0,0.0,10.0,0.0,0.0
2026-04,betam_dom_gun_lag1,0.0,0.0,10.0,0.0,0.0
2026-05,noter_devir_otomobil_adet_lag1,0.0,0.0,10.0,0.0,0.0
2026-05,eurtry_ortalama_lag1,0.0,0.0,10.0,0.0,0.0
2026-05,tufe_aylik_degisim_lag1,0.0,0.0,10.0,0.0,0.0
2026-05,tasit_kredisi_faiz_lag1,0.0,0.0,10.0,0.0,0.0
