model,n,MAE,RMSE,DA_yuzde,DA_ters_yuzde,MASE_h3_vs_sifir
AutoARIMA,12,9.660423069033166,11.216138252761263,75.0,25.0,0.9350965400943402
DirectTabular,12,9.979035135231477,11.987384623696974,58.333333333333336,41.66666666666667,0.9659371190840311
sifir,12,10.330936598330846,12.351683792182302,0.0,0.0,1.0
Average,12,10.555822986194627,12.31629488519451,50.0,50.0,1.02176824779857
WeightedEnsemble,12,11.311689249302349,13.23446818384311,75.0,25.0,1.0949335659585755
son12_ortalama,12,13.461027926365803,16.342944138633733,41.66666666666667,58.333333333333336,1.3029823383623012
Chronos[bolt_small],12,13.53970879883076,15.386856383702755,16.666666666666664,83.33333333333334,1.3105983828241043
Theta,12,18.27403028268814,21.25533759944422,25.0,75.0,1.7688648177011026
Naive,12,18.46540251727815,20.741611711684282,16.666666666666664,83.33333333333334,1.7873890079106263
AutoETS,12,18.465403535579423,20.741451795942915,16.666666666666664,83.33333333333334,1.7873891064787728
ETS,12,18.465403535579423,20.741451795942915,16.666666666666664,83.33333333333334,1.7873891064787728
RecursiveTabular,12,21.847048422493334,24.592572191803175,50.0,50.0,2.114720985319291
SeasonalNaive,12,23.404322477211547,27.40634527316914,25.0,75.0,2.2654598887958475
