origin,model,hedef_ay,y_true,y_pred_q50
2024-04-01,Naive,2024-07-01,-1.3844522349381303,8.437620324379505
2024-04-01,SeasonalNaive,2024-07-01,-1.3844522349381303,-2.7520384522287724
2024-04-01,Average,2024-07-01,-1.3844522349381303,2.530313051816066
2024-04-01,RecursiveTabular,2024-07-01,-1.3844522349381303,-10.958402633666992
2024-04-01,DirectTabular,2024-07-01,-1.3844522349381303,0.43443623185157776
2024-04-01,ETS,2024-07-01,-1.3844522349381303,8.438257422762844
2024-04-01,Theta,2024-07-01,-1.3844522349381303,4.487876892089844
2024-04-01,AutoETS,2024-07-01,-1.3844522349381303,8.438257422762844
2024-04-01,AutoARIMA,2024-07-01,-1.3844522349381303,-7.60044654051629
2024-04-01,Chronos[bolt_small],2024-07-01,-1.3844522349381303,2.823376178741455
2024-04-01,WeightedEnsemble,2024-07-01,-1.3844522349381303,-8.121508692901743
2024-04-01,sifir,2024-07-01,-1.3844522349381303,0.0
2024-04-01,son12_ortalama,2024-07-01,-1.3844522349381303,-3.352317874065142
2024-05-01,Naive,2024-08-01,-0.8024187595238806,1.7542045779339082
2024-05-01,SeasonalNaive,2024-08-01,-0.8024187595238806,-25.38770344207784
2024-05-01,Average,2024-08-01,-0.8024187595238806,2.1511303169860767
2024-05-01,RecursiveTabular,2024-08-01,-0.8024187595238806,-30.248876571655273
2024-05-01,DirectTabular,2024-08-01,-0.8024187595238806,0.7020845413208008
2024-05-01,ETS,2024-08-01,-0.8024187595238806,1.7548729832183927
2024-05-01,Theta,2024-08-01,-0.8024187595238806,-2.1738317012786865
2024-05-01,AutoETS,2024-08-01,-0.8024187595238806,1.7548729832183927
2024-05-01,AutoARIMA,2024-08-01,-0.8024187595238806,-9.750111317179709
2024-05-01,Chronos[bolt_small],2024-08-01,-0.8024187595238806,1.8283116817474365
2024-05-01,WeightedEnsemble,2024-08-01,-0.8024187595238806,-5.6853684833184
2024-05-01,sifir,2024-08-01,-0.8024187595238806,0.0
2024-05-01,son12_ortalama,2024-08-01,-0.8024187595238806,-4.38390270455297
2024-06-01,Naive,2024-09-01,20.685966189053858,-8.974744432748658
2024-06-01,SeasonalNaive,2024-09-01,20.685966189053858,-24.761168053465592
2024-06-01,Average,2024-09-01,20.685966189053858,1.7719475821560873
2024-06-01,RecursiveTabular,2024-09-01,20.685966189053858,-14.141607284545898
2024-06-01,DirectTabular,2024-09-01,20.685966189053858,-0.47115281224250793
2024-06-01,ETS,2024-09-01,20.685966189053858,-8.973671471007059
2024-06-01,Theta,2024-09-01,20.685966189053858,-12.87244987487793
2024-06-01,AutoETS,2024-09-01,20.685966189053858,-8.973671471007059
2024-06-01,AutoARIMA,2024-09-01,20.685966189053858,-3.47492808011296
2024-06-01,Chronos[bolt_small],2024-09-01,20.685966189053858,-3.107408046722412
2024-06-01,WeightedEnsemble,2024-09-01,20.685966189053858,-4.990657248030807
2024-06-01,sifir,2024-09-01,20.685966189053858,0.0
2024-06-01,son12_ortalama,2024-09-01,20.685966189053858,-5.822395874112203
2024-07-01,Naive,2024-10-01,17.08234144025041,-1.3844522349381303
2024-07-01,SeasonalNaive,2024-10-01,17.08234144025041,-24.937052677846825
2024-07-01,Average,2024-10-01,17.08234144025041,1.7630760800449976
2024-07-01,RecursiveTabular,2024-10-01,17.08234144025041,-14.789559364318848
2024-07-01,DirectTabular,2024-10-01,17.08234144025041,4.400613784790039
2024-07-01,ETS,2024-10-01,17.08234144025041,-1.3852111568617396
2024-07-01,Theta,2024-10-01,17.08234144025041,-5.430031776428223
2024-07-01,AutoETS,2024-10-01,17.08234144025041,-1.3852111568617396
2024-07-01,AutoARIMA,2024-10-01,17.08234144025041,8.065869817667032
2024-07-01,Chronos[bolt_small],2024-10-01,17.08234144025041,2.919424057006836
2024-07-01,WeightedEnsemble,2024-10-01,17.08234144025041,4.676445131989346
2024-07-01,sifir,2024-10-01,17.08234144025041,0.0
2024-07-01,son12_ortalama,2024-10-01,17.08234144025041,-5.708430356004648
2024-08-01,Naive,2024-11-01,16.413579595458174,-0.8024187595238806
2024-08-01,SeasonalNaive,2024-11-01,16.413579595458174,-21.294534475816985
2024-08-01,Average,2024-11-01,16.413579595458174,1.7542045779339082
2024-08-01,RecursiveTabular,2024-11-01,16.413579595458174,-8.793286323547363
2024-08-01,DirectTabular,2024-11-01,16.413579595458174,9.697379112243652
2024-08-01,ETS,2024-11-01,16.413579595458174,-0.8024770387636145
2024-08-01,Theta,2024-11-01,16.413579595458174,-4.751042366027832
2024-08-01,AutoETS,2024-11-01,16.413579595458174,-0.8024770387636145
2024-08-01,AutoARIMA,2024-11-01,16.413579595458174,-0.6504639688762786
2024-08-01,Chronos[bolt_small],2024-11-01,16.413579595458174,-1.4503581523895264
2024-08-01,WeightedEnsemble,2024-11-01,16.413579595458174,-1.6332350176201489
