model,n,MAE,RMSE,DA_yuzde,DA_ters_yuzde,MASE_h3_vs_sifir
DirectTabular,12,8.178314328591439,11.020398002653831,75.0,25.0,0.7916333868424666
Toto2,12,8.554328824783418,10.014901894087334,66.66666666666666,33.33333333333333,0.8280303284569115
Chronos2,12,10.087147627964827,12.380018914752563,66.66666666666666,33.33333333333333,0.9764020456378169
WeightedEnsemble,12,10.115656387224515,12.587940182217686,66.66666666666666,33.33333333333333,0.9791615978805723
sifir,12,10.330936598330846,12.351683792182302,0.0,0.0,1.0
son12_ortalama,12,13.461027926365803,16.342944138633733,41.66666666666667,58.333333333333336,1.3029823383623012
Theta,12,18.27403028268814,21.25533759944422,25.0,75.0,1.7688648177011026
ETS,12,18.465403535579423,20.741451795942915,16.666666666666664,83.33333333333334,1.7873891064787728
RecursiveTabular,12,22.73431798594231,28.534548528106157,33.33333333333333,66.66666666666666,2.200605702063399
SeasonalNaive,12,23.404322477211547,27.40634527316914,25.0,75.0,2.2654598887958475
