kol,model,n,MAE,RMSE,DA_yuzde,DA_ters_yuzde,MASE_h3_vs_sifir
T1,WeightedEnsemble,12,8.08196230050478,9.94410241213821,75.0,25.0,0.7823068338073598
T1,Chronos2,12,8.157648061846087,9.607719517275637,75.0,25.0,0.7896329615616948
T1,Toto2,12,8.554328824783418,10.014901894087334,66.66666666666666,33.33333333333333,0.8280303284569115
T1,DirectTabular,12,10.237006390711734,11.522842613285821,75.0,25.0,0.9909078710603754
T1,sifir,12,10.330936598330846,12.351683792182302,0.0,0.0,1.0
T1,son12_ortalama,12,13.461027926365803,16.342944138633733,41.66666666666667,58.333333333333336,1.3029823383623012
T1,Theta,12,18.27403028268814,21.25533759944422,25.0,75.0,1.7688648177011026
T1,ETS,12,18.465403535579423,20.741451795942915,16.666666666666664,83.33333333333334,1.7873891064787728
T1,SeasonalNaive,12,23.404322477211547,27.40634527316914,25.0,75.0,2.2654598887958475
T1,RecursiveTabular,12,23.929153656132158,29.101070209876998,41.66666666666667,58.333333333333336,2.316261785983505
T2,Chronos2,12,6.965153122614751,9.462024340794095,91.66666666666666,8.333333333333332,0.6742034525446706
T2,WeightedEnsemble,12,7.214633707295232,9.378100182307913,83.33333333333334,16.666666666666664,0.6983523360757911
T2,Toto2,12,8.554328824783418,10.014901894087334,66.66666666666666,33.33333333333333,0.8280303284569115
T2,DirectTabular,12,10.237006390711734,11.522842613285821,75.0,25.0,0.9909078710603754
T2,sifir,12,10.330936598330846,12.351683792182302,0.0,0.0,1.0
T2,son12_ortalama,12,13.461027926365803,16.342944138633733,41.66666666666667,58.333333333333336,1.3029823383623012
T2,Theta,12,18.27403028268814,21.25533759944422,25.0,75.0,1.7688648177011026
T2,ETS,12,18.465403535579423,20.741451795942915,16.666666666666664,83.33333333333334,1.7873891064787728
T2,SeasonalNaive,12,23.404322477211547,27.40634527316914,25.0,75.0,2.2654598887958475
T2,RecursiveTabular,12,23.929153656132158,29.101070209876998,41.66666666666667,58.333333333333336,2.316261785983505
T3,Toto2,12,8.554328824783418,10.014901894087334,66.66666666666666,33.33333333333333,0.8280303284569115
T3,WeightedEnsemble,12,9.46129655547813,11.875722371397597,75.0,25.0,0.915821761698429
T3,Chronos2,12,9.763244534852916,11.215921760885792,83.33333333333334,16.666666666666664,0.9450493129955273
T3,DirectTabular,12,10.237006390711734,11.522842613285821,75.0,25.0,0.9909078710603754
T3,sifir,12,10.330936598330846,12.351683792182302,0.0,0.0,1.0
T3,son12_ortalama,12,13.461027926365803,16.342944138633733,41.66666666666667,58.333333333333336,1.3029823383623012
T3,Theta,12,18.27403028268814,21.25533759944422,25.0,75.0,1.7688648177011026
T3,ETS,12,18.465403535579423,20.741451795942915,16.666666666666664,83.33333333333334,1.7873891064787728
T3,SeasonalNaive,12,23.404322477211547,27.40634527316914,25.0,75.0,2.2654598887958475
T3,RecursiveTabular,12,23.929153656132158,29.101070209876998,41.66666666666667,58.333333333333336,2.316261785983505
