model,kol,n,max_abs_prediction_difference,pass
Chronos2,T1,12,18.20180916786194,False
Chronos2,T2,12,11.994555711746216,False
Chronos2,T3,12,18.445532768964767,False
Toto2,T1,12,1.7763568394002505e-15,True
Toto2,T2,12,1.7763568394002505e-15,True
Toto2,T3,12,1.7763568394002505e-15,True
ETS,T1,12,1.7763568394002505e-15,True
ETS,T2,12,1.7763568394002505e-15,True
ETS,T3,12,1.7763568394002505e-15,True
Theta,T1,12,3.552713678800501e-15,True
Theta,T2,12,3.552713678800501e-15,True
Theta,T3,12,3.552713678800501e-15,True
SeasonalNaive,T1,12,0.0,True
SeasonalNaive,T2,12,0.0,True
SeasonalNaive,T3,12,0.0,True
