kol,blok,model,n,MAE,RMSE,DA_yuzde
T1,ALL,Chronos2,24,9.868248653569314,12.177918750236511,70.83333333333334
T2,ALL,Chronos2,24,10.326233569939955,13.506533365662994,75.0
T0,ALL,Toto2,24,11.23506266051835,14.252279203290318,66.66666666666666
T1,ALL,Toto2,24,11.23506266051835,14.252279203290318,66.66666666666666
T2,ALL,Toto2,24,11.23506266051835,14.252279203290318,66.66666666666666
T2,ALL,WeightedEnsemble,24,12.02440554657774,16.331098381264486,66.66666666666666
T0,ALL,sifir,24,12.030584202972099,14.416565342744347,0.0
T1,ALL,sifir,24,12.030584202972099,14.416565342744347,0.0
T2,ALL,sifir,24,12.030584202972099,14.416565342744347,0.0
T1,ALL,WeightedEnsemble,24,12.703573888956939,16.57170879529092,62.5
T1,ALL,DirectTabular,24,12.780943166144217,15.714756415170328,62.5
T2,ALL,DirectTabular,24,12.780943166144217,15.714756415170328,62.5
T0,ALL,Chronos2,24,13.37220759171115,16.736862534623594,58.333333333333336
T0,ALL,DirectTabular,24,13.705876736100779,21.07972655388746,58.333333333333336
T0,ALL,son12_ortalama,24,15.015291371034671,17.76844412347558,33.33333333333333
T1,ALL,son12_ortalama,24,15.015291371034671,17.76844412347558,33.33333333333333
T2,ALL,son12_ortalama,24,15.015291371034671,17.76844412347558,33.33333333333333
T0,ALL,WeightedEnsemble,24,15.841265344264407,19.73654771812521,50.0
T0,ALL,SeasonalNaive,24,19.673318299432065,23.43037789009654,45.83333333333333
T1,ALL,SeasonalNaive,24,19.673318299432065,23.43037789009654,45.83333333333333
T2,ALL,SeasonalNaive,24,19.673318299432065,23.43037789009654,45.83333333333333
T0,ALL,ETS,24,19.75306213746712,22.756501586549597,33.33333333333333
T1,ALL,ETS,24,19.75306213746712,22.756501586549597,33.33333333333333
T2,ALL,ETS,24,19.75306213746712,22.756501586549597,33.33333333333333
T0,ALL,Theta,24,20.00317321023191,23.073900043118545,33.33333333333333
T1,ALL,Theta,24,20.00317321023191,23.073900043118545,33.33333333333333
T2,ALL,Theta,24,20.00317321023191,23.073900043118545,33.33333333333333
T1,ALL,RecursiveTabular,24,21.807571104123706,25.885835363724592,50.0
T2,ALL,RecursiveTabular,24,21.807571104123706,25.885835363724592,50.0
T0,ALL,RecursiveTabular,24,24.561182118833713,29.418980226024697,33.33333333333333
T2,CONFIRM,Chronos2,12,6.965153122614751,9.462024340794095,91.66666666666666
T2,CONFIRM,WeightedEnsemble,12,7.214633707295232,9.378100182307913,83.33333333333334
T1,CONFIRM,WeightedEnsemble,12,8.081962299883896,9.944102411377154,75.0
T1,CONFIRM,Chronos2,12,8.157648061846087,9.607719517275637,75.0
T0,CONFIRM,DirectTabular,12,8.178314328591439,11.020398002653831,75.0
T0,CONFIRM,Toto2,12,8.554328824783418,10.014901894087334,66.66666666666666
T1,CONFIRM,Toto2,12,8.554328824783418,10.014901894087334,66.66666666666666
T2,CONFIRM,Toto2,12,8.554328824783418,10.014901894087334,66.66666666666666
T0,CONFIRM,Chronos2,12,10.087147627964827,12.380018914752563,66.66666666666666
T0,CONFIRM,WeightedEnsemble,12,10.115656387224515,12.587940182217686,66.66666666666666
T1,CONFIRM,DirectTabular,12,10.237006390711734,11.522842613285821,75.0
T2,CONFIRM,DirectTabular,12,10.237006390711734,11.522842613285821,75.0
T0,CONFIRM,sifir,12,10.330936598330846,12.351683792182302,0.0
T1,CONFIRM,sifir,12,10.330936598330846,12.351683792182302,0.0
T2,CONFIRM,sifir,12,10.330936598330846,12.351683792182302,0.0
T0,CONFIRM,son12_ortalama,12,13.461027926365803,16.342944138633733,41.66666666666667
T1,CONFIRM,son12_ortalama,12,13.461027926365803,16.342944138633733,41.66666666666667
T2,CONFIRM,son12_ortalama,12,13.461027926365803,16.342944138633733,41.66666666666667
T0,CONFIRM,Theta,12,18.27403028268814,21.25533759944422,25.0
T1,CONFIRM,Theta,12,18.27403028268814,21.25533759944422,25.0
T2,CONFIRM,Theta,12,18.27403028268814,21.25533759944422,25.0
T0,CONFIRM,ETS,12,18.465403535579423,20.741451795942915,16.666666666666664
T1,CONFIRM,ETS,12,18.465403535579423,20.741451795942915,16.666666666666664
T2,CONFIRM,ETS,12,18.465403535579423,20.741451795942915,16.666666666666664
T0,CONFIRM,RecursiveTabular,12,22.73431798594231,28.534548528106157,33.33333333333333
T0,CONFIRM,SeasonalNaive,12,23.404322477211547,27.40634527316914,25.0
T1,CONFIRM,SeasonalNaive,12,23.404322477211547,27.40634527316914,25.0
T2,CONFIRM,SeasonalNaive,12,23.404322477211547,27.40634527316914,25.0
T1,CONFIRM,RecursiveTabular,12,23.929153656132158,29.101070209876998,41.66666666666667
T2,CONFIRM,RecursiveTabular,12,23.929153656132158,29.101070209876998,41.66666666666667
T1,SELECT,Chronos2,12,11.57884924529254,14.293184944304217,66.66666666666666
T2,SELECT,Chronos2,12,13.687314017265159,16.59285938257043,58.333333333333336
T0,SELECT,sifir,12,13.730231807613352,16.220684944267177,0.0
