blok,kol,model,n,b_candidate_dogru_T0_yanlis,c_candidate_yanlis_T0_dogru,mcnemar_exact_p
SELECT,T0,Chronos2,12,3,2,1.0
SELECT,T0,DirectTabular,12,0,0,1.0
SELECT,T0,ETS,12,4,3,1.0
SELECT,T0,RecursiveTabular,12,1,2,1.0
SELECT,T0,SeasonalNaive,12,4,1,0.375
SELECT,T0,Theta,12,4,4,1.0
SELECT,T0,Toto2,12,3,0,0.25
SELECT,T0,WeightedEnsemble,12,1,2,1.0
SELECT,T0,sifir,12,0,5,0.0625
SELECT,T0,son12_ortalama,12,1,3,0.625
SELECT,T1,Chronos2,12,4,1,0.375
SELECT,T1,DirectTabular,12,1,0,1.0
SELECT,T1,ETS,12,4,3,1.0
SELECT,T1,RecursiveTabular,12,4,2,0.6875
SELECT,T1,SeasonalNaive,12,4,1,0.375
SELECT,T1,Theta,12,4,4,1.0
SELECT,T1,Toto2,12,3,0,0.25
SELECT,T1,WeightedEnsemble,12,3,2,1.0
SELECT,T1,sifir,12,0,5,0.0625
SELECT,T1,son12_ortalama,12,1,3,0.625
SELECT,T2,Chronos2,12,4,2,0.6875
SELECT,T2,DirectTabular,12,1,0,1.0
SELECT,T2,ETS,12,4,3,1.0
SELECT,T2,RecursiveTabular,12,4,2,0.6875
SELECT,T2,SeasonalNaive,12,4,1,0.375
SELECT,T2,Theta,12,4,4,1.0
SELECT,T2,Toto2,12,3,0,0.25
SELECT,T2,WeightedEnsemble,12,4,3,1.0
SELECT,T2,sifir,12,0,5,0.0625
SELECT,T2,son12_ortalama,12,1,3,0.625
CONFIRM,T0,Chronos2,12,2,3,1.0
CONFIRM,T0,DirectTabular,12,0,0,1.0
CONFIRM,T0,ETS,12,1,8,0.0390625
CONFIRM,T0,RecursiveTabular,12,2,7,0.1796875
CONFIRM,T0,SeasonalNaive,12,2,8,0.109375
CONFIRM,T0,Theta,12,2,8,0.109375
CONFIRM,T0,Toto2,12,2,3,1.0
CONFIRM,T0,WeightedEnsemble,12,2,3,1.0
CONFIRM,T0,sifir,12,0,9,0.00390625
CONFIRM,T0,son12_ortalama,12,2,6,0.2890625
CONFIRM,T1,Chronos2,12,3,3,1.0
CONFIRM,T1,DirectTabular,12,2,2,1.0
CONFIRM,T1,ETS,12,1,8,0.0390625
CONFIRM,T1,RecursiveTabular,12,2,6,0.2890625
CONFIRM,T1,SeasonalNaive,12,2,8,0.109375
CONFIRM,T1,Theta,12,2,8,0.109375
CONFIRM,T1,Toto2,12,2,3,1.0
CONFIRM,T1,WeightedEnsemble,12,3,3,1.0
CONFIRM,T1,sifir,12,0,9,0.00390625
CONFIRM,T1,son12_ortalama,12,2,6,0.2890625
CONFIRM,T2,Chronos2,12,3,1,0.625
CONFIRM,T2,DirectTabular,12,2,2,1.0
CONFIRM,T2,ETS,12,1,8,0.0390625
CONFIRM,T2,RecursiveTabular,12,2,6,0.2890625
CONFIRM,T2,SeasonalNaive,12,2,8,0.109375
CONFIRM,T2,Theta,12,2,8,0.109375
CONFIRM,T2,Toto2,12,2,3,1.0
CONFIRM,T2,WeightedEnsemble,12,3,2,1.0
CONFIRM,T2,sifir,12,0,9,0.00390625
CONFIRM,T2,son12_ortalama,12,2,6,0.2890625
ALL,T0,Chronos2,24,5,5,1.0
ALL,T0,DirectTabular,24,0,0,1.0
ALL,T0,ETS,24,5,11,0.210113525390625
ALL,T0,RecursiveTabular,24,3,9,0.14599609375
ALL,T0,SeasonalNaive,24,6,9,0.60723876953125
ALL,T0,Theta,24,6,12,0.237884521484375
ALL,T0,Toto2,24,5,3,0.7265625
ALL,T0,WeightedEnsemble,24,3,5,0.7265625
ALL,T0,sifir,24,0,14,0.0001220703125
ALL,T0,son12_ortalama,24,3,9,0.14599609375
ALL,T1,Chronos2,24,7,4,0.548828125
ALL,T1,DirectTabular,24,3,2,1.0
ALL,T1,ETS,24,5,11,0.210113525390625
ALL,T1,RecursiveTabular,24,6,8,0.79052734375
ALL,T1,SeasonalNaive,24,6,9,0.60723876953125
ALL,T1,Theta,24,6,12,0.237884521484375
ALL,T1,Toto2,24,5,3,0.7265625
ALL,T1,WeightedEnsemble,24,6,5,1.0
ALL,T1,sifir,24,0,14,0.0001220703125
ALL,T1,son12_ortalama,24,3,9,0.14599609375
ALL,T2,Chronos2,24,7,3,0.34375
ALL,T2,DirectTabular,24,3,2,1.0
ALL,T2,ETS,24,5,11,0.210113525390625
ALL,T2,RecursiveTabular,24,6,8,0.79052734375
ALL,T2,SeasonalNaive,24,6,9,0.60723876953125
ALL,T2,Theta,24,6,12,0.237884521484375
ALL,T2,Toto2,24,5,3,0.7265625
ALL,T2,WeightedEnsemble,24,7,5,0.7744140625
ALL,T2,sifir,24,0,14,0.0001220703125
ALL,T2,son12_ortalama,24,3,9,0.14599609375
