rejim,kol,model,n,MAE,RMSE,DA_adet,DA_yuzde
NORMAL_2023_01_2025_03,T0,Toto2,27,10.819176335172337,13.901005924329313,18,66.66666666666666
NORMAL_2023_01_2025_03,T1,Toto2,27,10.819176335172337,13.901005924329313,18,66.66666666666666
NORMAL_2023_01_2025_03,T0,sifir,27,11.612481939739675,13.96052442128906,0,0.0
NORMAL_2023_01_2025_03,T1,sifir,27,11.612481939739675,13.96052442128906,0,0.0
NORMAL_2023_01_2025_03,T1,Chronos2,27,12.003967207625694,15.100696782015131,18,66.66666666666666
NORMAL_2023_01_2025_03,T1,WeightedEnsemble,27,13.119809957379177,16.626932886369005,16,59.25925925925925
NORMAL_2023_01_2025_03,T0,Chronos2,27,13.352032224178101,16.61714460590554,16,59.25925925925925
NORMAL_2023_01_2025_03,T1,DirectTabular,27,13.744543519815254,17.326621778843386,15,55.55555555555556
NORMAL_2023_01_2025_03,T0,son12_ortalama,27,13.755900932874367,16.875879631948067,11,40.74074074074074
NORMAL_2023_01_2025_03,T1,son12_ortalama,27,13.755900932874367,16.875879631948067,11,40.74074074074074
NORMAL_2023_01_2025_03,T0,DirectTabular,27,14.516773383201711,21.48886043893198,14,51.85185185185185
NORMAL_2023_01_2025_03,T0,WeightedEnsemble,27,15.038600554958247,18.975254550647787,14,51.85185185185185
NORMAL_2023_01_2025_03,T0,ETS,27,19.274342615949813,22.484389452663887,10,37.03703703703704
NORMAL_2023_01_2025_03,T1,ETS,27,19.274342615949813,22.484389452663887,10,37.03703703703704
NORMAL_2023_01_2025_03,T0,Theta,27,19.337312694580856,22.579234674161693,9,33.33333333333333
NORMAL_2023_01_2025_03,T1,Theta,27,19.337312694580856,22.579234674161693,9,33.33333333333333
NORMAL_2023_01_2025_03,T0,SeasonalNaive,27,20.283416455171192,24.054031149272003,14,51.85185185185185
NORMAL_2023_01_2025_03,T1,SeasonalNaive,27,20.283416455171192,24.054031149272003,14,51.85185185185185
NORMAL_2023_01_2025_03,T1,RecursiveTabular,27,21.26525542142791,25.12005299651175,15,55.55555555555556
NORMAL_2023_01_2025_03,T0,RecursiveTabular,27,23.712909656725696,28.367338345786674,11,40.74074074074074
SOK_2020_04_2022_12,T1,Chronos2,33,26.225376493993245,33.10548703237086,20,60.60606060606061
SOK_2020_04_2022_12,T0,sifir,33,26.95401285184647,31.366492043097274,0,0.0
SOK_2020_04_2022_12,T1,sifir,33,26.95401285184647,31.366492043097274,0,0.0
SOK_2020_04_2022_12,T1,DirectTabular,33,27.08147813923926,31.36188528102409,20,60.60606060606061
SOK_2020_04_2022_12,T0,DirectTabular,33,27.405031503624517,32.09042854820946,22,66.66666666666666
SOK_2020_04_2022_12,T0,son12_ortalama,33,30.45662784423801,34.07014418128079,9,27.27272727272727
SOK_2020_04_2022_12,T1,son12_ortalama,33,30.45662784423801,34.07014418128079,9,27.27272727272727
SOK_2020_04_2022_12,T0,Toto2,33,31.789560475388313,39.937000408565794,18,54.54545454545454
SOK_2020_04_2022_12,T1,Toto2,33,31.789560475388313,39.937000408565794,18,54.54545454545454
SOK_2020_04_2022_12,T0,Chronos2,33,35.584770667862685,43.604191071627575,11,33.33333333333333
SOK_2020_04_2022_12,T1,WeightedEnsemble,33,35.71413646411302,45.18269771117893,17,51.515151515151516
SOK_2020_04_2022_12,T0,SeasonalNaive,33,38.232991153554515,43.447430905996804,13,39.39393939393939
SOK_2020_04_2022_12,T1,SeasonalNaive,33,38.232991153554515,43.447430905996804,13,39.39393939393939
SOK_2020_04_2022_12,T0,WeightedEnsemble,33,38.387372939961985,47.29481139994767,15,45.45454545454545
SOK_2020_04_2022_12,T0,RecursiveTabular,33,42.73034369284744,48.98649905643086,13,39.39393939393939
SOK_2020_04_2022_12,T1,RecursiveTabular,33,42.73034369284744,48.98649905643086,13,39.39393939393939
SOK_2020_04_2022_12,T0,ETS,33,46.11459415081673,55.816679376823934,12,36.36363636363637
SOK_2020_04_2022_12,T1,ETS,33,46.11459415081673,55.816679376823934,12,36.36363636363637
SOK_2020_04_2022_12,T0,Theta,33,47.003168779685836,56.61508200667173,12,36.36363636363637
SOK_2020_04_2022_12,T1,Theta,33,47.003168779685836,56.61508200667173,12,36.36363636363637
TUM,T1,Chronos2,60,19.825742315127847,26.559353698722123,38,63.33333333333333
TUM,T0,sifir,60,20.05032394139841,25.07637457153965,0,0.0
TUM,T1,sifir,60,20.05032394139841,25.07637457153965,0,0.0
TUM,T1,DirectTabular,60,21.079857560498457,26.001108373091597,35,58.333333333333336
TUM,T0,DirectTabular,60,21.605315349434253,27.824172723694918,36,60.0
TUM,T0,Toto2,60,22.352887612291124,31.05136527541565,36,60.0
TUM,T1,Toto2,60,22.352887612291124,31.05136527541565,36,60.0
TUM,T0,son12_ortalama,60,22.94130073412437,27.687253195318846,20,33.33333333333333
TUM,T1,son12_ortalama,60,22.94130073412437,27.687253195318846,20,33.33333333333333
TUM,T1,WeightedEnsemble,60,25.54668953608279,35.31595388201194,33,55.00000000000001
TUM,T0,Chronos2,60,25.580038368204622,34.20507690592381,27,45.0
TUM,T0,WeightedEnsemble,60,27.880425366710302,37.313089932542255,29,48.333333333333336
TUM,T0,SeasonalNaive,60,30.15568253928202,36.035981675553366,27,45.0
TUM,T1,SeasonalNaive,60,30.15568253928202,36.035981675553366,27,45.0
TUM,T1,RecursiveTabular,60,33.071053970708654,40.047223093986645,28,46.666666666666664
TUM,T0,ETS,60,34.03648096012662,44.057036092285166,22,36.666666666666664
TUM,T1,ETS,60,34.03648096012662,44.057036092285166,22,36.666666666666664
TUM,T0,RecursiveTabular,60,34.17249837659266,41.011462392410344,24,40.0
TUM,T0,Theta,60,34.55353354138859,44.63537787623266,21,35.0
TUM,T1,Theta,60,34.55353354138859,44.63537787623266,21,35.0
