rejim,kol,model,n,MAE,RMSE,DA_adet,DA_yuzde,gercek_pozitif,gercek_negatif,cogunluk_taban_yuzde,DA_binom_p_vs_0_5
NORMAL,T0,DirectTabular,29,11.387908408014443,16.14622639528129,17,58.620689655172406,14,15,51.724137931034484,0.22912915982306004
NORMAL,T1,Chronos2,29,11.397417534960354,14.420073880889131,19,65.51724137931035,14,15,51.724137931034484,0.06802297383546829
NORMAL,T0,sifir,29,11.593743360976008,15.824383829070607,0,0.0,14,15,51.724137931034484,1.0
NORMAL,T1,sifir,29,11.593743360976008,15.824383829070607,0,0.0,14,15,51.724137931034484,1.0
NORMAL,T0,Chronos2,29,11.596404515374255,15.830692777681376,13,44.827586206896555,14,15,51.724137931034484,0.77087084017694
NORMAL,T0,ETS,29,11.697164431671618,15.956776604810424,13,44.827586206896555,14,15,51.724137931034484,0.77087084017694
NORMAL,T1,ETS,29,11.697164431671618,15.956776604810424,13,44.827586206896555,14,15,51.724137931034484,0.77087084017694
NORMAL,T1,WeightedEnsemble,29,11.702122971585997,14.67755173151064,15,51.724137931034484,14,15,51.724137931034484,0.5
NORMAL,T0,Toto2,29,11.749415349768086,16.038153111447137,14,48.275862068965516,14,15,51.724137931034484,0.644464448094368
NORMAL,T1,Toto2,29,11.749415349768086,16.038153111447137,14,48.275862068965516,14,15,51.724137931034484,0.644464448094368
NORMAL,T0,son12_ortalama,29,12.065425982986982,16.522693001690044,12,41.37931034482759,14,15,51.724137931034484,0.867534551769495
NORMAL,T1,son12_ortalama,29,12.065425982986982,16.522693001690044,12,41.37931034482759,14,15,51.724137931034484,0.867534551769495
NORMAL,T0,Theta,29,12.408060893478686,16.833073072005607,12,41.37931034482759,14,15,51.724137931034484,0.867534551769495
NORMAL,T1,Theta,29,12.408060893478686,16.833073072005607,12,41.37931034482759,14,15,51.724137931034484,0.867534551769495
NORMAL,T0,WeightedEnsemble,29,12.838769890018266,17.13771213225565,8,27.586206896551722,14,15,51.724137931034484,0.995934970676899
NORMAL,T1,DirectTabular,29,13.780615030353507,17.838251139239468,18,62.06896551724138,14,15,51.724137931034484,0.132465448230505
NORMAL,T0,SeasonalNaive,29,17.868570132939997,21.81530302874633,17,58.620689655172406,14,15,51.724137931034484,0.22912915982306004
NORMAL,T0,mevsimsel_naive,29,17.868570132939997,21.81530302874633,17,58.620689655172406,14,15,51.724137931034484,0.22912915982306004
NORMAL,T1,SeasonalNaive,29,17.868570132939997,21.81530302874633,17,58.620689655172406,14,15,51.724137931034484,0.22912915982306004
NORMAL,T1,mevsimsel_naive,29,17.868570132939997,21.81530302874633,17,58.620689655172406,14,15,51.724137931034484,0.22912915982306004
NORMAL,T1,RecursiveTabular,29,19.244794445987402,24.283258013074242,16,55.172413793103445,14,15,51.724137931034484,0.355535551905632
NORMAL,T0,RecursiveTabular,29,19.613508624825844,24.587901244438008,14,48.275862068965516,14,15,51.724137931034484,0.644464448094368
NORMAL,T0,naive,29,19.95409591876717,25.951886916649613,11,37.93103448275862,14,15,51.724137931034484,0.9319770261645317
NORMAL,T1,naive,29,19.95409591876717,25.951886916649613,11,37.93103448275862,14,15,51.724137931034484,0.9319770261645317
SOK,T1,Chronos2,35,23.50807700508313,32.816367374731584,19,54.285714285714285,19,16,54.285714285714285,0.3679394004284404
SOK,T0,sifir,35,24.712965167166885,31.81057576951927,0,0.0,19,16,54.285714285714285,1.0
SOK,T1,sifir,35,24.712965167166885,31.81057576951927,0,0.0,19,16,54.285714285714285,1.0
SOK,T0,ETS,35,25.082034608124722,32.2737351057705,13,37.142857142857146,19,16,54.285714285714285,0.9552344605326653
SOK,T1,ETS,35,25.082034608124722,32.2737351057705,13,37.142857142857146,19,16,54.285714285714285,0.9552344605326653
SOK,T0,son12_ortalama,35,25.842010750902755,33.32912427639276,13,37.142857142857146,19,16,54.285714285714285,0.9552344605326653
SOK,T1,son12_ortalama,35,25.842010750902755,33.32912427639276,13,37.142857142857146,19,16,54.285714285714285,0.9552344605326653
SOK,T1,DirectTabular,35,25.931760654546483,31.691005469481645,16,45.714285714285715,19,16,54.285714285714285,0.7502200833987445
SOK,T0,Theta,35,25.98558223264766,33.742008468349795,15,42.857142857142854,19,16,54.285714285714285,0.8447476704604924
SOK,T1,Theta,35,25.98558223264766,33.742008468349795,15,42.857142857142854,19,16,54.285714285714285,0.8447476704604924
SOK,T0,Toto2,35,26.28065789826337,34.11747613444116,13,37.142857142857146,19,16,54.285714285714285,0.9552344605326653
SOK,T1,Toto2,35,26.28065789826337,34.11747613444116,13,37.142857142857146,19,16,54.285714285714285,0.9552344605326653
SOK,T0,Chronos2,35,26.29489376881501,33.98350662630713,14,40.0,19,16,54.285714285714285,0.912267375504598
