kol,rejim,blok,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK,SELECT,2020-02-01,SeasonalNaive,2020-03-01,-19.716800199477632,19.550627831690264
T0,SOK,SELECT,2020-02-01,RecursiveTabular,2020-03-01,-19.716800199477632,25.4017391204834
T0,SOK,SELECT,2020-02-01,DirectTabular,2020-03-01,-19.716800199477632,2.1973824501037598
T0,SOK,SELECT,2020-02-01,ETS,2020-03-01,-19.716800199477632,1.284315889018015
T0,SOK,SELECT,2020-02-01,Theta,2020-03-01,-19.716800199477632,2.8567070960998535
T0,SOK,SELECT,2020-02-01,Chronos2,2020-03-01,-19.716800199477632,-1.0242233276367188
T0,SOK,SELECT,2020-02-01,Toto2,2020-03-01,-19.716800199477632,0.4245193600654602
T0,SOK,SELECT,2020-02-01,WeightedEnsemble,2020-03-01,-19.716800199477632,1.284315889018015
T0,SOK,SELECT,2020-02-01,sifir,2020-03-01,-19.716800199477632,0.0
T0,SOK,SELECT,2020-02-01,naive,2020-03-01,-19.716800199477632,-2.814683920368756
T0,SOK,SELECT,2020-02-01,mevsimsel_naive,2020-03-01,-19.716800199477632,19.550627831690264
T0,SOK,SELECT,2020-02-01,son12_ortalama,2020-03-01,-19.716800199477632,4.059560239017949
T0,SOK,SELECT,2020-03-01,SeasonalNaive,2020-04-01,-77.18045079689757,2.4962075247900883
T0,SOK,SELECT,2020-03-01,RecursiveTabular,2020-04-01,-77.18045079689757,6.316833019256592
T0,SOK,SELECT,2020-03-01,DirectTabular,2020-04-01,-77.18045079689757,1.482555627822876
T0,SOK,SELECT,2020-03-01,ETS,2020-04-01,-77.18045079689757,0.46736191758239887
T0,SOK,SELECT,2020-03-01,Theta,2020-04-01,-77.18045079689757,-0.08545650541782379
T0,SOK,SELECT,2020-03-01,Chronos2,2020-04-01,-77.18045079689757,5.286438465118408
T0,SOK,SELECT,2020-03-01,Toto2,2020-04-01,-77.18045079689757,0.17424380779266357
T0,SOK,SELECT,2020-03-01,WeightedEnsemble,2020-04-01,-77.18045079689757,5.286438465118408
T0,SOK,SELECT,2020-03-01,sifir,2020-04-01,-77.18045079689757,0.0
T0,SOK,SELECT,2020-03-01,naive,2020-04-01,-77.18045079689757,-19.716800199477632
T0,SOK,SELECT,2020-03-01,mevsimsel_naive,2020-04-01,-77.18045079689757,2.4962075247900883
T0,SOK,SELECT,2020-03-01,son12_ortalama,2020-04-01,-77.18045079689757,0.7872745697539578
T0,SOK,SELECT,2020-04-01,SeasonalNaive,2020-05-01,49.80176895789852,10.175355107053967
T0,SOK,SELECT,2020-04-01,RecursiveTabular,2020-05-01,49.80176895789852,12.197011947631836
T0,SOK,SELECT,2020-04-01,DirectTabular,2020-05-01,49.80176895789852,1.542937994003296
T0,SOK,SELECT,2020-04-01,ETS,2020-05-01,49.80176895789852,-2.439944268281161
T0,SOK,SELECT,2020-04-01,Theta,2020-05-01,49.80176895789852,-10.143741607666016
