model,gozlem,MAE,RMSE,bias,yon_dogrulugu_yuzde,MASE
RecursiveTabular,6,0.001784808118741343,0.0023258082191817938,-0.0001842676509521054,83.33333333333334,0.28943227238625474
MevsimselNaive12,6,0.002400752967082175,0.002854878459002475,0.00042824788321654583,66.66666666666666,0.38931657661365493
SeasonalNaive,6,0.002400752967082175,0.002854878459002475,0.00042824788321654583,66.66666666666666,0.38931657661365493
TemporalFusionTransformer,6,0.0024446139294253626,0.0034588097090736247,-0.0008651501346728848,100.0,0.39642926165062636
WeightedEnsemble,6,0.0027516731230791277,0.0036399186780485195,-0.0007040944753699483,66.66666666666666,0.4462233203189464
Toto2,6,0.002931955905670683,0.0039983042615949,-0.0011421000122131552,83.33333333333334,0.4754587629918475
Son12Ortalama,6,0.003024664725100394,0.004028588129681233,-0.002339801024479235,83.33333333333334,0.4904928296772405
DeepAR,6,0.0030666042301403323,0.0034683360109868293,0.0014239497945605073,50.0,0.49729392281380935
DirectTabular,6,0.0030739228733725186,0.003769018888616263,-0.00011701436431225606,66.66666666666666,0.4984807459345882
AutoETS,6,0.003630975122288004,0.004516078324341727,-0.0025556141186189817,83.33333333333334,0.5888147692665653
DynamicOptimizedTheta,6,0.0036680366366254893,0.004874138924801801,-0.0015485583652160215,66.66666666666666,0.5948248261461466
NaiveSonDeger,6,0.004098944019858667,0.005437605381953745,-0.002087308294923104,0.0,0.6647026476372017
