model,hedef_ay,y_true,y_pred,onceki_gercek,hata
SeasonalNaive,2025-07-01,0.04036912085213002,0.039262703727831264,0.03344341512536128,
SeasonalNaive,2025-08-01,0.03894610769678934,0.03859734649846014,0.04036912085213002,
SeasonalNaive,2025-09-01,0.039976533863187065,0.041254073314014456,0.03894610769678934,
SeasonalNaive,2025-10-01,0.038955640977094086,0.042452076968656,0.039976533863187065,
SeasonalNaive,2025-11-01,0.035364639843721055,0.03907766695222791,0.038955640977094086,
SeasonalNaive,2025-12-01,0.045967264894899905,0.04150492796593098,0.035364639843721055,
RecursiveTabular,2025-07-01,0.04036912085213002,0.04036378860473633,0.03344341512536128,
RecursiveTabular,2025-08-01,0.03894610769678934,0.03737582266330719,0.04036912085213002,
RecursiveTabular,2025-09-01,0.039976533863187065,0.04004383832216263,0.03894610769678934,
RecursiveTabular,2025-10-01,0.038955640977094086,0.04123272746801376,0.039976533863187065,
RecursiveTabular,2025-11-01,0.035364639843721055,0.03782187029719353,0.038955640977094086,
RecursiveTabular,2025-12-01,0.045967264894899905,0.041635654866695404,0.035364639843721055,
DirectTabular,2025-07-01,0.04036912085213002,0.03602367639541626,0.03344341512536128,
DirectTabular,2025-08-01,0.03894610769678934,0.0392705574631691,0.04036912085213002,
DirectTabular,2025-09-01,0.039976533863187065,0.0406159982085228,0.03894610769678934,
DirectTabular,2025-10-01,0.038955640977094086,0.04100487381219864,0.039976533863187065,
DirectTabular,2025-11-01,0.035364639843721055,0.0412222184240818,0.038955640977094086,
DirectTabular,2025-12-01,0.045967264894899905,0.04073989763855934,0.035364639843721055,
DynamicOptimizedTheta,2025-07-01,0.04036912085213002,0.034762173891067505,0.03344341512536128,
DynamicOptimizedTheta,2025-08-01,0.03894610769678934,0.03981161490082741,0.04036912085213002,
DynamicOptimizedTheta,2025-09-01,0.039976533863187065,0.03946714103221893,0.03894610769678934,
DynamicOptimizedTheta,2025-10-01,0.038955640977094086,0.04026609659194946,0.039976533863187065,
DynamicOptimizedTheta,2025-11-01,0.035364639843721055,0.039547111839056015,0.038955640977094086,
DynamicOptimizedTheta,2025-12-01,0.045967264894899905,0.03643381968140602,0.035364639843721055,
AutoETS,2025-07-01,0.04036912085213002,0.03445560088544936,0.03344341512536128,
AutoETS,2025-08-01,0.03894610769678934,0.03731461641948529,0.04036912085213002,
AutoETS,2025-09-01,0.039976533863187065,0.03780178542677297,0.03894610769678934,
AutoETS,2025-10-01,0.038955640977094086,0.03844257213299514,0.039976533863187065,
AutoETS,2025-11-01,0.035364639843721055,0.03859072285472812,0.038955640977094086,
AutoETS,2025-12-01,0.045967264894899905,0.037640325696676705,0.035364639843721055,
Toto2,2025-07-01,0.04036912085213002,0.037071291357278824,0.03344341512536128,
Toto2,2025-08-01,0.03894610769678934,0.039476439356803894,0.04036912085213002,
Toto2,2025-09-01,0.039976533863187065,0.039293013513088226,0.03894610769678934,
Toto2,2025-10-01,0.038955640977094086,0.03984648361802101,0.039976533863187065,
Toto2,2025-11-01,0.035364639843721055,0.03931303322315216,0.038955640977094086,
Toto2,2025-12-01,0.045967264894899905,0.037726446986198425,0.035364639843721055,
TemporalFusionTransformer,2025-07-01,0.04036912085213002,0.03753641992807388,0.03344341512536128,
TemporalFusionTransformer,2025-08-01,0.03894610769678934,0.0396408811211586,0.04036912085213002,
TemporalFusionTransformer,2025-09-01,0.039976533863187065,0.040019258856773376,0.03894610769678934,
TemporalFusionTransformer,2025-10-01,0.038955640977094086,0.03938983753323555,0.039976533863187065,
TemporalFusionTransformer,2025-11-01,0.035364639843721055,0.038931336253881454,0.038955640977094086,
TemporalFusionTransformer,2025-12-01,0.045967264894899905,0.0388706736266613,0.035364639843721055,
DeepAR,2025-07-01,0.04036912085213002,0.03937757387757301,0.03344341512536128,
DeepAR,2025-08-01,0.03894610769678934,0.04237930476665497,0.04036912085213002,
DeepAR,2025-09-01,0.039976533863187065,0.04232499189674854,0.03894610769678934,
DeepAR,2025-10-01,0.038955640977094086,0.04069976508617401,0.039976533863187065,
DeepAR,2025-11-01,0.035364639843721055,0.041310522705316544,0.038955640977094086,
DeepAR,2025-12-01,0.045967264894899905,0.04203084856271744,0.035364639843721055,
WeightedEnsemble,2025-07-01,0.04036912085213002,0.037013959002796235,0.03344341512536128,
WeightedEnsemble,2025-08-01,0.03894610769678934,0.03898333046263218,0.04036912085213002,
WeightedEnsemble,2025-09-01,0.039976533863187065,0.04013142442915174,0.03894610769678934,
WeightedEnsemble,2025-10-01,0.038955640977094086,0.041113491316726584,0.039976533863187065,
WeightedEnsemble,2025-11-01,0.035364639843721055,0.03915741211540858,0.038955640977094086,
WeightedEnsemble,2025-12-01,0.045967264894899905,0.038955123948886464,0.035364639843721055,
NaiveSonDeger,2025-07-01,0.04036912085213002,0.03344341512536128,0.03344341512536128,
Son12Ortalama,2025-07-01,0.04036912085213002,0.037695797372231325,0.03344341512536128,
MevsimselNaive12,2025-07-01,0.04036912085213002,0.039262703727831264,0.03344341512536128,
NaiveSonDeger,2025-08-01,0.03894610769678934,0.04036912085213002,0.04036912085213002,
Son12Ortalama,2025-08-01,0.03894610769678934,0.03778799879925622,0.04036912085213002,
MevsimselNaive12,2025-08-01,0.03894610769678934,0.03859734649846014,0.04036912085213002,
NaiveSonDeger,2025-09-01,0.039976533863187065,0.03894610769678934,0.03894610769678934,
Son12Ortalama,2025-09-01,0.039976533863187065,0.03781706223245032,0.03894610769678934,
MevsimselNaive12,2025-09-01,0.039976533863187065,0.041254073314014456,0.03894610769678934,
NaiveSonDeger,2025-10-01,0.038955640977094086,0.039976533863187065,0.039976533863187065,
Son12Ortalama,2025-10-01,0.038955640977094086,0.03771060061154803,0.039976533863187065,
MevsimselNaive12,2025-10-01,0.038955640977094086,0.042452076968656,0.039976533863187065,
NaiveSonDeger,2025-11-01,0.035364639843721055,0.038955640977094086,0.038955640977094086,
Son12Ortalama,2025-11-01,0.035364639843721055,0.03741923094558453,0.038955640977094086,
MevsimselNaive12,2025-11-01,0.035364639843721055,0.03907766695222791,0.038955640977094086,
NaiveSonDeger,2025-12-01,0.045967264894899905,0.035364639843721055,0.035364639843721055,
Son12Ortalama,2025-12-01,0.045967264894899905,0.037109812019875635,0.035364639843721055,
MevsimselNaive12,2025-12-01,0.045967264894899905,0.04150492796593098,0.035364639843721055,
