feature,korelasyon,karar
betam_satis_orani_pct_lag1,-0.7319753956974883,tutuldu
indicata_perakende_fiyat_aylik_pct_lag1,-0.6365223545450417,tutuldu
arabam_reel_aylik_degisim_pct_lag1,-0.585099555077716,tutuldu
noter_devir_otomobil_adet,-0.4817265991572822,tutuldu
ay,-0.46734168956970945,tutuldu
indicata_satisa_donen_adet_lag1,-0.44710709229249485,tutuldu
cos_ay,-0.4368195239602636,tutuldu
ceyrek,-0.43558080589241044,tutuldu
noter_devir_toplam_adet,-0.4051721838958371,tutuldu
odmd_otomobil_adet,-0.40409000308498777,tutuldu
brut_ucret_maas_endeksi_2021_100,-0.39665134196753793,tutuldu
odmd_toplam_adet,-0.37667809464908464,tutuldu
odmd_hta_adet,-0.36310923319523186,tutuldu
altin_gram_try,-0.26688038766199507,tutuldu
indicata_satis_ilan_orani_pct_lag1,-0.22759731572600408,tutuldu
tuketici_guven_endeksi,-0.22734168192880427,tutuldu
otomobil_satinalma_ihtimali_endeksi,-0.22124227463907548,tutuldu
trafige_kayitli_toplam_otomobil_adet,-0.2141590401589004,tutuldu
usdtry_ortalama_alis,-0.20583502015092922,tutuldu
usdtry_ortalama,-0.20583487113244647,tutuldu
usdtry_ortalama_satis,-0.20583472238185674,tutuldu
usdtry_aysonu_satis,-0.2020217798082205,tutuldu
usdtry_aysonu,-0.2020209849526735,tutuldu
usdtry_aysonu_alis,-0.20202018866005753,tutuldu
tufe_endeks,-0.19207704945481371,tutuldu
eurtry_ortalama,-0.18582153854891204,tutuldu
eurtry_aysonu,-0.18359364110769466,tutuldu
osd_binek_adet,-0.17819384599457114,tutuldu
indicata_ilan_yayinlanan_adet_lag1,-0.17408022242959884,tutuldu
osd_binek_kamyonet_toplam_adet,-0.1472757939469406,tutuldu
betam_talep_aylik_pct_lag1,-0.08153279129743823,elendi
betam_ortalama_ilan_fiyati_tl_lag1,-0.0640550203255787,elendi
osd_kamyonet_adet,-0.018774851144631746,elendi
otv_event_ay_mi,0.08394547375943186,elendi
tcmb_agirlikli_ortalama_fonlama_maliyeti_apifon4,0.08935482516568936,elendi
arabam_ortalama_ilan_fiyati_tl_lag1,0.15653658785855284,tutuldu
betam_nominal_yillik_degisim_pct_lag1,0.23779313365757426,tutuldu
tufe_aylik_degisim,0.24947403690733908,tutuldu
enag_aylik_degisim,0.25276748391039217,tutuldu
konut_kredisi_faiz_ktf12,0.33885542580451156,tutuldu
sin_ay,0.3447484567234797,tutuldu
enag_yillik_degisim,0.3791870026907443,tutuldu
tufe_yillik_degisim,0.4613777023637783,tutuldu
betam_dom_gun_lag1,0.598133637489402,tutuldu
oyder_ilan_sayisi,,elendi
oyder_satis_adedi,,elendi
indicata_ortalama_satis_hizi_gun_lag1,,elendi
indicata_toptan_fiyat_aylik_pct_lag1,,elendi
