feature_a,feature_b,korelasyon,elenen
odmd_toplam_adet,odmd_hta_adet,0.9635262531447035,odmd_hta_adet
trafige_kayitli_toplam_otomobil_adet,usdtry_aysonu_alis,0.9905091651911095,usdtry_aysonu_alis
trafige_kayitli_toplam_otomobil_adet,usdtry_aysonu,0.9905091785029178,usdtry_aysonu
trafige_kayitli_toplam_otomobil_adet,usdtry_aysonu_satis,0.9905091917888519,usdtry_aysonu_satis
trafige_kayitli_toplam_otomobil_adet,usdtry_ortalama_alis,0.9903832991333118,usdtry_ortalama_alis
trafige_kayitli_toplam_otomobil_adet,usdtry_ortalama,0.9903832935008705,usdtry_ortalama
trafige_kayitli_toplam_otomobil_adet,usdtry_ortalama_satis,0.9903832878784564,usdtry_ortalama_satis
trafige_kayitli_toplam_otomobil_adet,eurtry_aysonu,0.9915191313040219,eurtry_aysonu
trafige_kayitli_toplam_otomobil_adet,eurtry_ortalama,0.9913683584048847,eurtry_ortalama
trafige_kayitli_toplam_otomobil_adet,tufe_endeks,0.9812840141482165,tufe_endeks
trafige_kayitli_toplam_otomobil_adet,brut_ucret_maas_endeksi_2021_100,0.9641927900281281,brut_ucret_maas_endeksi_2021_100
trafige_kayitli_toplam_otomobil_adet,altin_gram_try,0.9367147946585697,altin_gram_try
usdtry_aysonu_alis,usdtry_aysonu,0.9999999999990238,usdtry_aysonu_alis
usdtry_aysonu_alis,usdtry_aysonu_satis,0.9999999999961023,usdtry_aysonu_alis
usdtry_aysonu_alis,usdtry_ortalama_alis,0.9995922246861569,usdtry_aysonu_alis
usdtry_aysonu_alis,usdtry_ortalama,0.999592224259546,usdtry_aysonu_alis
usdtry_aysonu_alis,usdtry_ortalama_satis,0.9995922238335989,usdtry_aysonu_alis
usdtry_aysonu_alis,eurtry_aysonu,0.996999637230608,usdtry_aysonu_alis
usdtry_aysonu_alis,eurtry_ortalama,0.9965932657600722,usdtry_aysonu_alis
usdtry_aysonu_alis,tufe_endeks,0.9827312499976856,usdtry_aysonu_alis
usdtry_aysonu_alis,brut_ucret_maas_endeksi_2021_100,0.9680554774241266,usdtry_aysonu_alis
usdtry_aysonu_alis,altin_gram_try,0.9248490385085808,usdtry_aysonu_alis
usdtry_aysonu,usdtry_aysonu_satis,0.9999999999990274,usdtry_aysonu
usdtry_aysonu,usdtry_ortalama_alis,0.9995922284503049,usdtry_aysonu
usdtry_aysonu,usdtry_ortalama,0.9995922280238387,usdtry_aysonu
usdtry_aysonu,usdtry_ortalama_satis,0.9995922275980366,usdtry_aysonu
usdtry_aysonu,eurtry_aysonu,0.9969996460101892,usdtry_aysonu
usdtry_aysonu,eurtry_ortalama,0.9965932799150736,usdtry_aysonu
usdtry_aysonu,tufe_endeks,0.9827312916784907,usdtry_aysonu
usdtry_aysonu,brut_ucret_maas_endeksi_2021_100,0.9680555193244196,usdtry_aysonu
usdtry_aysonu,altin_gram_try,0.9248491436900375,usdtry_aysonu
usdtry_aysonu_satis,usdtry_ortalama_alis,0.9995922322057353,usdtry_aysonu_satis
usdtry_aysonu_satis,usdtry_ortalama,0.9995922317794134,usdtry_aysonu_satis
usdtry_aysonu_satis,usdtry_ortalama_satis,0.9995922313537555,usdtry_aysonu_satis
usdtry_aysonu_satis,eurtry_aysonu,0.9969996547720357,usdtry_aysonu_satis
usdtry_aysonu_satis,eurtry_ortalama,0.9965932940426727,usdtry_aysonu_satis
usdtry_aysonu_satis,tufe_endeks,0.9827313332824069,usdtry_aysonu_satis
usdtry_aysonu_satis,brut_ucret_maas_endeksi_2021_100,0.9680555611473363,usdtry_aysonu_satis
usdtry_aysonu_satis,altin_gram_try,0.9248492486804926,usdtry_aysonu_satis
usdtry_ortalama_alis,usdtry_ortalama,0.9999999999999486,usdtry_ortalama_alis
usdtry_ortalama_alis,usdtry_ortalama_satis,0.9999999999997935,usdtry_ortalama_alis
usdtry_ortalama_alis,eurtry_aysonu,0.996796143723959,usdtry_ortalama_alis
usdtry_ortalama_alis,eurtry_ortalama,0.9971943154287501,usdtry_ortalama_alis
usdtry_ortalama_alis,tufe_endeks,0.9840131842721013,usdtry_ortalama_alis
usdtry_ortalama_alis,brut_ucret_maas_endeksi_2021_100,0.9696301634893277,usdtry_ortalama_alis
