feature,korelasyon,karar
odmd_toplam_adet,-0.7496698962174605,tutuldu
odmd_hta_adet,-0.7023753437035344,tutuldu
trafige_kayitli_toplam_otomobil_adet,-0.5340844633929936,tutuldu
usdtry_aysonu_alis,-0.5241225499193758,tutuldu
usdtry_aysonu,-0.5241223556402396,tutuldu
usdtry_aysonu_satis,-0.5241221617095524,tutuldu
usdtry_ortalama_alis,-0.5220913292821332,tutuldu
usdtry_ortalama,-0.5220913186078342,tutuldu
usdtry_ortalama_satis,-0.5220913079526779,tutuldu
eurtry_aysonu,-0.5184831131403125,tutuldu
eurtry_ortalama,-0.5162714466218492,tutuldu
otomobil_satinalma_ihtimali_endeksi,-0.4911938235635814,tutuldu
tufe_endeks,-0.4831931484925357,tutuldu
brut_ucret_maas_endeksi_2021_100,-0.4608833142978151,tutuldu
altin_gram_try,-0.4290038489518712,tutuldu
konut_kredisi_faiz_ktf12,-0.424689846692394,tutuldu
tcmb_agirlikli_ortalama_fonlama_maliyeti_apifon4,-0.33695547451495034,tutuldu
tufe_yillik_degisim,-0.3151417030099256,tutuldu
betam_nominal_yillik_degisim_pct_lag1,-0.2510255051636952,tutuldu
arabam_reel_aylik_degisim_pct_lag1,-0.22416738142225023,tutuldu
noter_devir_toplam_adet,-0.18068405482548747,tutuldu
ay,-0.11725099509778508,tutuldu
sin_ay,-0.10782139711313822,tutuldu
tuketici_guven_endeksi,-0.10672617122781329,tutuldu
osd_kamyonet_adet,-0.09402341311825621,elendi
tufe_aylik_degisim,-0.06289015147997355,elendi
osd_binek_kamyonet_toplam_adet,-0.06265571395377284,elendi
ceyrek,-0.059712567448217686,elendi
betam_ortalama_ilan_fiyati_tl_lag1,-0.05661714318549511,elendi
osd_binek_adet,-0.04035980340087769,elendi
indicata_ilan_yayinlanan_adet_lag1,0.0035853884214073315,elendi
indicata_perakende_fiyat_aylik_pct_lag1,0.006085583195465247,elendi
betam_satis_orani_pct_lag1,0.008390065364882559,elendi
cos_ay,0.012678183890903211,elendi
arabam_ortalama_ilan_fiyati_tl_lag1,0.05212973885250843,elendi
otv_event_ay_mi,0.12930422147755385,tutuldu
enag_yillik_degisim,0.1392194019730803,tutuldu
indicata_satis_ilan_orani_pct_lag1,0.23932619129473712,tutuldu
indicata_satisa_donen_adet_lag1,0.2408977188054644,tutuldu
betam_talep_aylik_pct_lag1,0.29757559822162416,tutuldu
betam_dom_gun_lag1,0.3335166308734748,tutuldu
enag_aylik_degisim,0.4200571643210176,tutuldu
oyder_ilan_sayisi,,elendi
oyder_satis_adedi,,elendi
indicata_ortalama_satis_hizi_gun_lag1,,elendi
indicata_toptan_fiyat_aylik_pct_lag1,,elendi
