feature,korelasyon,karar
betam_satis_orani_pct_lag1,-0.378160815547338,tutuldu
sin_ay,-0.22690385824039688,tutuldu
enag_aylik_degisim,-0.18230212181254307,tutuldu
enag_yillik_degisim,-0.15314352028431633,tutuldu
tufe_yillik_degisim,-0.15178879540188636,tutuldu
betam_talep_aylik_pct_lag1,-0.1322183901698566,tutuldu
tufe_aylik_degisim,-0.12726439672820491,tutuldu
indicata_ilan_yayinlanan_adet_lag1,-0.0965508295158138,elendi
indicata_satisa_donen_adet_lag1,-0.09307557879222673,elendi
betam_nominal_yillik_degisim_pct_lag1,-0.09091288905523272,elendi
tcmb_agirlikli_ortalama_fonlama_maliyeti_apifon4,-0.06637236433960925,elendi
cos_ay,-0.03805677997266528,elendi
tuketici_guven_endeksi,-0.03703527416368549,elendi
indicata_perakende_fiyat_aylik_pct_lag1,-0.021683422779156466,elendi
konut_kredisi_faiz_ktf12,-0.002123640973461611,elendi
betam_ortalama_ilan_fiyati_tl_lag1,0.012111726545595764,elendi
altin_gram_try,0.023411896154166265,elendi
indicata_satis_ilan_orani_pct_lag1,0.037572804427851714,elendi
brut_ucret_maas_endeksi_2021_100,0.044964576999286125,elendi
tufe_endeks,0.10110010457257866,tutuldu
trafige_kayitli_toplam_otomobil_adet,0.12246321442258751,tutuldu
usdtry_aysonu_satis,0.12464071505113605,tutuldu
usdtry_aysonu,0.124642020234663,tutuldu
usdtry_aysonu_alis,0.12464332777269149,tutuldu
usdtry_ortalama_satis,0.1303023211065834,tutuldu
usdtry_ortalama,0.13030243281928575,tutuldu
usdtry_ortalama_alis,0.13030254473319264,tutuldu
otomobil_satinalma_ihtimali_endeksi,0.13809368056202012,tutuldu
eurtry_aysonu,0.16193015290009727,tutuldu
eurtry_ortalama,0.16405010435631087,tutuldu
osd_kamyonet_adet,0.1903023939569008,tutuldu
arabam_ortalama_ilan_fiyati_tl_lag1,0.2110568329905998,tutuldu
osd_binek_adet,0.22423501175900531,tutuldu
arabam_reel_aylik_degisim_pct_lag1,0.22996383737359882,tutuldu
osd_binek_kamyonet_toplam_adet,0.24723169597746722,tutuldu
otv_event_ay_mi,0.2677806971386419,tutuldu
betam_dom_gun_lag1,0.26970010669546723,tutuldu
ay,0.31492771511267437,tutuldu
odmd_otomobil_adet,0.33093838374377554,tutuldu
ceyrek,0.34318854483138617,tutuldu
odmd_toplam_adet,0.3458113492560055,tutuldu
odmd_hta_adet,0.46081221508957293,tutuldu
noter_devir_toplam_adet,0.7553937239334705,tutuldu
oyder_ilan_sayisi,,elendi
oyder_satis_adedi,,elendi
indicata_ortalama_satis_hizi_gun_lag1,,elendi
indicata_toptan_fiyat_aylik_pct_lag1,,elendi
