feature,korelasyon,karar
betam_nominal_yillik_degisim_pct_lag1,-0.8243949328554339,tutuldu
altin_gram_try,-0.7347501291366568,tutuldu
arabam_ortalama_ilan_fiyati_tl_lag1,-0.7172768317003545,tutuldu
brut_ucret_maas_endeksi_2021_100,-0.7119557956671938,tutuldu
eurtry_ortalama,-0.6943831863312927,tutuldu
eurtry_aysonu,-0.6889294156681608,tutuldu
usdtry_ortalama_alis,-0.6874122844004563,tutuldu
usdtry_ortalama,-0.6874122497784907,tutuldu
usdtry_ortalama_satis,-0.6874122152181193,tutuldu
usdtry_aysonu_satis,-0.6810954755431967,tutuldu
usdtry_aysonu,-0.6810944906281619,tutuldu
usdtry_aysonu_alis,-0.6810935039217643,tutuldu
trafige_kayitli_toplam_otomobil_adet,-0.6735083113196861,tutuldu
betam_ortalama_ilan_fiyati_tl_lag1,-0.6713552246869524,tutuldu
tufe_endeks,-0.6279183907007312,tutuldu
indicata_ilan_yayinlanan_adet_lag1,-0.5939775869483825,tutuldu
betam_satis_orani_pct_lag1,-0.5654747364702887,tutuldu
tuketici_guven_endeksi,-0.4924376448126601,tutuldu
osd_kamyonet_adet,-0.4770326298837231,tutuldu
arabam_reel_aylik_degisim_pct_lag1,-0.4125654408032143,tutuldu
indicata_satisa_donen_adet_lag1,-0.39136932741153174,tutuldu
odmd_hta_adet,-0.34978285273867427,tutuldu
odmd_toplam_adet,-0.34498190274407114,tutuldu
odmd_otomobil_adet,-0.34135671639835813,tutuldu
cos_ay,-0.2966515895627393,tutuldu
otomobil_satinalma_ihtimali_endeksi,-0.2703481997539562,tutuldu
ceyrek,-0.19978436285281234,tutuldu
ay,-0.19232018776462506,tutuldu
indicata_perakende_fiyat_aylik_pct_lag1,-0.17161071871586225,tutuldu
noter_devir_otomobil_adet,-0.15150224332621387,tutuldu
noter_devir_toplam_adet,-0.09913861176166308,elendi
sin_ay,0.04084023555554593,elendi
osd_binek_kamyonet_toplam_adet,0.04143409312173152,elendi
otv_event_ay_mi,0.10203449348918502,tutuldu
tufe_aylik_degisim,0.1032117029679325,tutuldu
indicata_satis_ilan_orani_pct_lag1,0.18532491389533967,tutuldu
betam_talep_aylik_pct_lag1,0.2180069811297806,tutuldu
osd_binek_adet,0.28286039932263435,tutuldu
enag_aylik_degisim,0.3257123139924739,tutuldu
betam_dom_gun_lag1,0.4522886123457694,tutuldu
konut_kredisi_faiz_ktf12,0.7372672894991456,tutuldu
enag_yillik_degisim,0.749734996497067,tutuldu
tufe_yillik_degisim,0.7911944121941735,tutuldu
tcmb_agirlikli_ortalama_fonlama_maliyeti_apifon4,0.8210660746936125,tutuldu
oyder_ilan_sayisi,,elendi
oyder_satis_adedi,,elendi
indicata_ortalama_satis_hizi_gun_lag1,,elendi
indicata_toptan_fiyat_aylik_pct_lag1,,elendi
