,target_1ay_hiz,target_3ay_hiz
arabam_ortalama_ilan_fiyati_tl,0.0038313428826537146,-0.4765070334715452
betam_ortalama_ilan_fiyati_tl,-0.0991319202562026,-0.30214086726214645
betam_dom_gun,0.11985765911716083,-0.19651041279525922
betam_talep_aylik_pct,0.7682340545951487,-0.14680998554236308
tasit_kredisi_faiz,-0.01774362988785126,-0.07630085697353922
tuketici_guven_endeksi,0.05564258170875137,-0.04725422397886086
indicata_ilan_yayinlanan_adet,0.07893380098742413,-0.04715050848721262
tufe_aylik_degisim,-0.18977165604626708,-0.04451262416539704
altin_gram_try,-0.03822155120615906,-0.04225181943645078
tufe_endeks,-0.0061281934730974584,-0.035868257615089875
usdtry_ortalama_satis,-0.012521929639017092,-0.03531019881389862
usdtry_ortalama,-0.012521895867655456,-0.035310126701148754
usdtry_ortalama_alis,-0.012521862035449147,-0.035310054458475626
usdtry_aysonu_alis,-0.012082470802833225,-0.03350633231126789
usdtry_aysonu,-0.012082812811235364,-0.03350631293349401
usdtry_aysonu_satis,-0.01208315420440543,-0.03350629359051155
eurtry_ortalama,-0.011724593006437502,-0.0323400835178011
eurtry_aysonu,-0.011425604362562475,-0.030245132291899512
politika_faizi,0.017503216158324574,-0.0030858880886523083
brut_ucret_maas_endeksi_2021_100,-0.018166803191065957,-0.0013095267348214987
otomobil_satinalma_ihtimali_endeksi,0.051196137452085747,0.018762350337676127
odmd_otomobil_adet,0.16557854130964902,0.04513004655062012
odmd_toplam_adet,0.18145425527079448,0.05417585896421291
osd_kamyonet_adet,0.23823955467096908,0.08645741732059191
odmd_hta_adet,0.2032498866559725,0.08802714171578434
otv_event_ay_mi,0.05578753724518345,0.10689563795595232
betam_satis_orani_pct,0.3649461121778151,0.14405921629064933
indicata_satisa_donen_adet,0.30134872460848017,0.16278653437912805
osd_binek_kamyonet_toplam_adet,0.32553668993810264,0.1700609882033391
osd_binek_adet,0.3236646659748265,0.18530834895411072
indicata_satis_ilan_orani_pct,0.19393167932473662,0.209169052641058
arabam_reel_aylik_degisim_pct,-0.4149816486613303,0.44486947343372696
indicata_perakende_fiyat_aylik_pct,0.29288631311677954,0.46992875920772864
noter_devir_toplam_adet,0.4493204535378699,0.47612757328619715
noter_devir_otomobil_adet,0.4508776303744007,0.5461270759628326
indicata_ortalama_satis_hizi_gun,,
indicata_toptan_fiyat_aylik_pct,,
