,noter_devir_toplam_adet,noter_devir_otomobil_adet,odmd_toplam_adet,odmd_otomobil_adet,odmd_hta_adet,osd_binek_adet,osd_kamyonet_adet,osd_binek_kamyonet_toplam_adet,tufe_endeks,tufe_aylik_degisim,tuketici_guven_endeksi,otomobil_satinalma_ihtimali_endeksi,tasit_kredisi_faiz,politika_faizi,usdtry_aysonu_alis,usdtry_aysonu_satis,usdtry_aysonu,usdtry_ortalama_alis,usdtry_ortalama_satis,usdtry_ortalama,altin_gram_try,brut_ucret_maas_endeksi_2021_100,indicata_ilan_yayinlanan_adet,indicata_satisa_donen_adet,indicata_satis_ilan_orani_pct,indicata_ortalama_satis_hizi_gun,indicata_perakende_fiyat_aylik_pct,indicata_toptan_fiyat_aylik_pct,arabam_ortalama_ilan_fiyati_tl,arabam_reel_aylik_degisim_pct,betam_ortalama_ilan_fiyati_tl,betam_talep_aylik_pct,betam_satis_orani_pct,betam_dom_gun,otv_event_ay_mi,eurtry_ortalama,eurtry_aysonu,target_1ay_hiz,target_3ay_hiz
noter_devir_toplam_adet,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
noter_devir_otomobil_adet,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
odmd_toplam_adet,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
odmd_otomobil_adet,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,99,41,41,41,11,24,11,26,16,29,27,27,27,101,101,101,100,96
odmd_hta_adet,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,99,41,41,41,11,24,11,26,16,29,27,27,27,101,101,101,100,96
osd_binek_adet,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
osd_kamyonet_adet,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
osd_binek_kamyonet_toplam_adet,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
tufe_endeks,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
tufe_aylik_degisim,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
tuketici_guven_endeksi,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
otomobil_satinalma_ihtimali_endeksi,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
tasit_kredisi_faiz,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
politika_faizi,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
usdtry_aysonu_alis,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
usdtry_aysonu_satis,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
usdtry_aysonu,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
usdtry_ortalama_alis,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
usdtry_ortalama_satis,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
usdtry_ortalama,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
altin_gram_try,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,99,41,41,41,11,24,11,26,16,29,27,27,27,101,101,101,100,96
brut_ucret_maas_endeksi_2021_100,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,39,39,39,11,24,11,24,15,27,25,25,25,99,99,99,98,94
indicata_ilan_yayinlanan_adet,42,42,42,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,39,42,42,42,11,24,11,27,16,30,28,28,28,42,42,42,42,42
indicata_satisa_donen_adet,42,42,42,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,39,42,42,42,11,24,11,27,16,30,28,28,28,42,42,42,42,42
indicata_satis_ilan_orani_pct,42,42,42,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,39,42,42,42,11,24,11,27,16,30,28,28,28,42,42,42,42,42
indicata_ortalama_satis_hizi_gun,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,8,4,10,10,10,10,11,11,11,11,11
indicata_perakende_fiyat_aylik_pct,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,24,11,21,14,22,22,22,22,24,24,24,24,24
indicata_toptan_fiyat_aylik_pct,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,8,4,10,10,10,10,11,11,11,11,11
arabam_ortalama_ilan_fiyati_tl,27,27,27,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,24,27,27,27,8,21,8,27,14,25,25,25,25,27,27,27,27,27
arabam_reel_aylik_degisim_pct,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,4,14,4,14,16,14,14,14,14,16,16,16,16,16
betam_ortalama_ilan_fiyati_tl,30,30,30,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,27,30,30,30,10,22,10,25,14,30,28,28,28,30,30,30,30,30
betam_talep_aylik_pct,28,28,28,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,25,28,28,28,10,22,10,25,14,28,28,28,28,28,28,28,28,28
betam_satis_orani_pct,28,28,28,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,25,28,28,28,10,22,10,25,14,28,28,28,28,28,28,28,28,28
betam_dom_gun,28,28,28,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,25,28,28,28,10,22,10,25,14,28,28,28,28,28,28,28,28,28
otv_event_ay_mi,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
eurtry_ortalama,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
eurtry_aysonu,102,102,102,101,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,99,42,42,42,11,24,11,27,16,30,28,28,28,102,102,102,101,97
